SRC,DST,ACTION
africana_studies/africana_studies_black_culture_and_identity.md,africana-studies/imported_from/africana_studies/africana_studies_black_culture_and_identity.md,DRY_RUN
africana_studies/africana_studies_black_liberation_movement.md,africana-studies/imported_from/africana_studies/africana_studies_black_liberation_movement.md,DRY_RUN
africana_studies/africana_studies_civil_rights_movement.md,africana-studies/imported_from/africana_studies/africana_studies_civil_rights_movement.md,DRY_RUN
africana_studies/africana_studies_cultural_frameworks.md,africana-studies/imported_from/africana_studies/africana_studies_cultural_frameworks.md,DRY_RUN
africana_studies/africana_studies_hub.md,africana-studies/imported_from/africana_studies/africana_studies_hub.md,DRY_RUN
africana_studies/africana_studies_overview.md,africana-studies/imported_from/africana_studies/africana_studies_overview.md,DRY_RUN
africana_studies/africana_studies_pan_africanism_and_global_black_solidarity.md,africana-studies/imported_from/africana_studies/africana_studies_pan_africanism_and_global_black_solidarity.md,DRY_RUN
africana_studies/african_american.md,africana-studies/imported_from/africana_studies/african_american.md,DRY_RUN
africana_studies/african_diaspora.md,africana-studies/imported_from/africana_studies/african_diaspora.md,DRY_RUN
africana_studies/black_music_cultural_resistance.md,africana-studies/imported_from/africana_studies/black_music_cultural_resistance.md,DRY_RUN
africana_studies/civil_rights_movement.md,africana-studies/imported_from/africana_studies/civil_rights_movement.md,DRY_RUN
africana_studies/diaspora_in_the_digital_age.md,africana-studies/imported_from/africana_studies/diaspora_in_the_digital_age.md,DRY_RUN
africana_studies/early_church_schisms.md,africana-studies/imported_from/africana_studies/early_church_schisms.md,DRY_RUN
africana_studies/george_washington_williams.md,africana-studies/imported_from/africana_studies/george_washington_williams.md,DRY_RUN
africana_studies/harlem_renaissance.md,africana-studies/imported_from/africana_studies/harlem_renaissance.md,DRY_RUN
africana_studies/matamba.md,africana-studies/imported_from/africana_studies/matamba.md,DRY_RUN
africana_studies/nzinga_strategic_doctrine_for_ai_ethics.md,africana-studies/imported_from/africana_studies/nzinga_strategic_doctrine_for_ai_ethics.md,DRY_RUN
africana_studies/overview.md,africana-studies/imported_from/africana_studies/overview.md,DRY_RUN
africana_studies/queen_nzinga_mbande_1583_1663.md,africana-studies/imported_from/africana_studies/queen_nzinga_mbande_1583_1663.md,DRY_RUN
africana_studies/research_papers.md,africana-studies/imported_from/africana_studies/research_papers.md,DRY_RUN
africana_studies/resistance_through_ritual.md,africana-studies/imported_from/africana_studies/resistance_through_ritual.md,DRY_RUN
africana_studies/resisting_algorithmic_colonialism_nzinga_legacy.md,africana-studies/imported_from/africana_studies/resisting_algorithmic_colonialism_nzinga_legacy.md,DRY_RUN
africana_studies/ritual_and_resistance.md,africana-studies/imported_from/africana_studies/ritual_and_resistance.md,DRY_RUN
africana_studies/sankofa_reading_journey.md,africana-studies/imported_from/africana_studies/sankofa_reading_journey.md,DRY_RUN
africana_studies/structure_note_african_diaspora_themes.md,africana-studies/imported_from/africana_studies/structure_note_african_diaspora_themes.md,DRY_RUN
africana_studies/structure_note_black_aesthetic_architecture.md,africana-studies/imported_from/africana_studies/structure_note_black_aesthetic_architecture.md,DRY_RUN
africana_studies/tubman_as_a_model_for_digital_sanctuary.md,africana-studies/imported_from/africana_studies/tubman_as_a_model_for_digital_sanctuary.md,DRY_RUN
africana_studies/tubman_counterintelligence_networks.md,africana-studies/imported_from/africana_studies/tubman_counterintelligence_networks.md,DRY_RUN
africana_studies/black_innovators/judy_reed.md,africana-studies/imported_from/africana_studies/black_innovators/judy_reed.md,DRY_RUN
africana_studies/conflict_analysis/nat_turner_oct7_liberation_ethics.md,africana-studies/imported_from/africana_studies/conflict_analysis/nat_turner_oct7_liberation_ethics.md,DRY_RUN
africana_studies/history/the_scramble_for_africa.md,africana-studies/imported_from/africana_studies/history/the_scramble_for_africa.md,DRY_RUN
africana_studies/palestinian_liberation/free_palestine_movement.md,africana-studies/imported_from/africana_studies/palestinian_liberation/free_palestine_movement.md,DRY_RUN
africana_studies/palestinian_liberation/palestine_tech_resistance.md,africana-studies/imported_from/africana_studies/palestinian_liberation/palestine_tech_resistance.md,DRY_RUN
africana_studies/surveillance/from_underground_to_underwatch.md,africana-studies/imported_from/africana_studies/surveillance/from_underground_to_underwatch.md,DRY_RUN
ai_ethics/afroalgorithmic_ethics.md,ai-ml/imported_from/ai_ethics/afroalgorithmic_ethics.md,DRY_RUN
ai_ethics/ai_fairness_trenches.md,ai-ml/imported_from/ai_ethics/ai_fairness_trenches.md,DRY_RUN
ai_ethics/ai_ml_mathematical_modeling.md,ai-ml/imported_from/ai_ethics/ai_ml_mathematical_modeling.md,DRY_RUN
ai_ethics/laws_41_intro_to_machine_learning.md,ai-ml/imported_from/ai_ethics/laws_41_intro_to_machine_learning.md,DRY_RUN
ai_ethics/neural_networks.md,ai-ml/imported_from/ai_ethics/neural_networks.md,DRY_RUN
ai_ethics/nzinga_digital_defense_data_sovereignty.md,ai-ml/imported_from/ai_ethics/nzinga_digital_defense_data_sovereignty.md,DRY_RUN
ai_ethics/overview.md,ai-ml/imported_from/ai_ethics/overview.md,DRY_RUN
ai_ethics/structure_note_ai_ethics_framework.md,ai-ml/imported_from/ai_ethics/structure_note_ai_ethics_framework.md,DRY_RUN
ai_ethics/structure_note_bias_detection_framework.md,ai-ml/imported_from/ai_ethics/structure_note_bias_detection_framework.md,DRY_RUN
ai_ethics/structure_note_social_justice_in_ai.md,ai-ml/imported_from/ai_ethics/structure_note_social_justice_in_ai.md,DRY_RUN
ai_ethics/enterprise_agentic_case_studies/terzo_case_notes.md,ai-ml/imported_from/ai_ethics/enterprise_agentic_case_studies/terzo_case_notes.md,DRY_RUN
community/city_maintenance.md,business/imported_from/community/city_maintenance.md,DRY_RUN
community/noise_outreach_2025_05_07.md,business/imported_from/community/noise_outreach_2025_05_07.md,DRY_RUN
critical_infrastructure/ai_defense_networks.md,history-political-thought/imported_from/critical_infrastructure/ai_defense_networks.md,DRY_RUN
critical_infrastructure/china_civil_fusion.md,history-political-thought/imported_from/critical_infrastructure/china_civil_fusion.md,DRY_RUN
critical_infrastructure/constitutional_crisis.md,history-political-thought/imported_from/critical_infrastructure/constitutional_crisis.md,DRY_RUN
critical_infrastructure/dataview_ai_defense_dashboard.md,history-political-thought/imported_from/critical_infrastructure/dataview_ai_defense_dashboard.md,DRY_RUN
critical_infrastructure/mermaid_military_mappings.md,history-political-thought/imported_from/critical_infrastructure/mermaid_military_mappings.md,DRY_RUN
critical_infrastructure/project_2025_pentagon.md,history-political-thought/imported_from/critical_infrastructure/project_2025_pentagon.md,DRY_RUN
critical_infrastructure/_meta.md,history-political-thought/imported_from/critical_infrastructure/_meta.md,DRY_RUN
critical_infrastructure/ai_geopolitics/saudi_summit_scorpyun.md,ai-ml/imported_from/critical_infrastructure/ai_geopolitics/saudi_summit_scorpyun.md,DRY_RUN
critical_infrastructure/visualizations/ai_militarization_battlefield.md,history-political-thought/imported_from/critical_infrastructure/visualizations/ai_militarization_battlefield.md,DRY_RUN
critical_infrastructure/visualizations/digital_iron_curtain.md,history-political-thought/imported_from/critical_infrastructure/visualizations/digital_iron_curtain.md,DRY_RUN
critical_infrastructure/visualizations/jadc2_doctrine.md,history-political-thought/imported_from/critical_infrastructure/visualizations/jadc2_doctrine.md,DRY_RUN
documentation/language/vault_etymology_index.md,templates/imported_from/documentation/language/vault_etymology_index.md,DRY_RUN
labor_history/antipodean_resistance/19th_century_great_resignation.md,africana-studies/imported_from/labor_history/antipodean_resistance/19th_century_great_resignation.md,DRY_RUN
learning_journal/comptia_a+/comptia_a_plus_core_1_study_guide.md,personal-development/imported_from/learning_journal/comptia_a+/comptia_a_plus_core_1_study_guide.md,DRY_RUN
learning_journal/comptia_a+/module_1/laptop_components.md,personal-development/imported_from/learning_journal/comptia_a+/module_1/laptop_components.md,DRY_RUN
learning_journal/comptia_a+/module_1/laptop_storage.md,personal-development/imported_from/learning_journal/comptia_a+/module_1/laptop_storage.md,DRY_RUN
learning_journal/ibm_ai_developer/ai_apps_with_python_flask.md,personal-development/imported_from/learning_journal/ibm_ai_developer/ai_apps_with_python_flask.md,DRY_RUN
learning_journal/ibm_ai_developer/ai_ethics_foundations.md,personal-development/imported_from/learning_journal/ibm_ai_developer/ai_ethics_foundations.md,DRY_RUN
learning_journal/ibm_ai_developer/build_genai_apps_with_python.md,personal-development/imported_from/learning_journal/ibm_ai_developer/build_genai_apps_with_python.md,DRY_RUN
learning_journal/ibm_ai_developer/cheatsheet_js_programming_for_web_apps.md,personal-development/imported_from/learning_journal/ibm_ai_developer/cheatsheet_js_programming_for_web_apps.md,DRY_RUN
learning_journal/ibm_ai_developer/client_side_javascript_with_dom.md,personal-development/imported_from/learning_journal/ibm_ai_developer/client_side_javascript_with_dom.md,DRY_RUN
learning_journal/ibm_ai_developer/dom2_node_types.md,personal-development/imported_from/learning_journal/ibm_ai_developer/dom2_node_types.md,DRY_RUN
learning_journal/ibm_ai_developer/emotion_detector_final_project.md,personal-development/imported_from/learning_journal/ibm_ai_developer/emotion_detector_final_project.md,DRY_RUN
learning_journal/ibm_ai_developer/enhancing_javascript_skills_locally.md,personal-development/imported_from/learning_journal/ibm_ai_developer/enhancing_javascript_skills_locally.md,DRY_RUN
learning_journal/ibm_ai_developer/enhancing_javascript_skills_using_fiddle.md,personal-development/imported_from/learning_journal/ibm_ai_developer/enhancing_javascript_skills_using_fiddle.md,DRY_RUN
learning_journal/ibm_ai_developer/genai_career_guide.md,personal-development/imported_from/learning_journal/ibm_ai_developer/genai_career_guide.md,DRY_RUN
learning_journal/ibm_ai_developer/generative_ai_intro.md,personal-development/imported_from/learning_journal/ibm_ai_developer/generative_ai_intro.md,DRY_RUN
learning_journal/ibm_ai_developer/generative_ai_prompt_engineering.md,personal-development/imported_from/learning_journal/ibm_ai_developer/generative_ai_prompt_engineering.md,DRY_RUN
learning_journal/ibm_ai_developer/glossary_js_programming_for_web_applications.md,personal-development/imported_from/learning_journal/ibm_ai_developer/glossary_js_programming_for_web_applications.md,DRY_RUN
learning_journal/ibm_ai_developer/html_css_javascript_intro.md,personal-development/imported_from/learning_journal/ibm_ai_developer/html_css_javascript_intro.md,DRY_RUN
learning_journal/ibm_ai_developer/intro_software_engineering.md,personal-development/imported_from/learning_journal/ibm_ai_developer/intro_software_engineering.md,DRY_RUN
learning_journal/ibm_ai_developer/intro_to_ai.md,personal-development/imported_from/learning_journal/ibm_ai_developer/intro_to_ai.md,DRY_RUN
learning_journal/ibm_ai_developer/javascript_fundamentals_via_browser_console.md,personal-development/imported_from/learning_journal/ibm_ai_developer/javascript_fundamentals_via_browser_console.md,DRY_RUN
learning_journal/ibm_ai_developer/lab_dom_manipulation_todo_list.md,personal-development/imported_from/learning_journal/ibm_ai_developer/lab_dom_manipulation_todo_list.md,DRY_RUN
learning_journal/ibm_ai_developer/lab_js_form_validation.md,personal-development/imported_from/learning_journal/ibm_ai_developer/lab_js_form_validation.md,DRY_RUN
